player,singles,doubles,triples,homeruns,strikes
torrc001,0,0,0,0,3
kinnm002,1,1,0,0,27
florr001,1,0,0,0,1
valee002,9,3,2,13,9
basta001,0,0,0,0,3
mussm001,1,0,0,0,1
schic002,3,3,0,0,21
coggd001,1,1,0,0,4
hallj002,1,0,0,0,2
kuo-h001,1,1,0,1,3
kottg001,11,11,0,1,25
nealb001,0,0,0,0,1
willj003,3,1,0,0,19
drank001,1,2,0,0,14
willj004,64,30,4,24,104
colem001,7,0,0,1,15
ryanm001,13,8,1,5,12
wagnr001,1,0,0,0,1
olsot001,10,8,0,2,2
stepg001,9,0,0,0,18
bergp001,93,26,7,5,102
gutir001,10,3,2,11,5
wilsj003,29,11,1,3,45
wilsj002,121,21,3,9,77
meloj001,1,0,0,0,5
tollb001,3,1,0,0,11
durhr001,77,30,5,8,83
snidt001,34,15,1,9,78
rilem001,0,0,0,0,2
jimeu001,13,0,0,0,15
kielb001,66,27,1,13,94
bumgm001,0,0,0,0,1
brogr001,29,17,0,2,42
osorf001,2,0,0,0,2
gregk001,0,0,0,0,2
shies002,0,0,0,0,1
reamb001,2,0,0,1,2
gillc001,1,0,0,0,1
mitrs001,1,1,0,0,1
purcd001,0,0,0,0,1
riggj001,0,0,0,0,2
smitj002,0,0,0,0,1
volsc001,5,1,0,0,23
ventr001,64,18,1,14,91
moraw001,3,1,0,0,3
lohsk001,1,1,0,0,1
dantj001,3,1,0,0,4
marte001,116,25,1,24,98
johnb003,4,1,1,3,11
johnb002,18,6,0,4,28
ramim002,125,36,1,37,97
gravd001,6,0,0,1,16
resoc001,0,0,0,0,1
garcj001,3,4,1,2,2
smyts001,2,0,0,0,1
goodd001,0,0,0,0,1
whitd001,33,5,1,4,30
meddb001,0,0,0,0,1
spivj001,66,22,2,13,98
voger001,1,1,0,0,2
garcj004,0,0,0,0,1
linct001,9,1,1,0,36
asenm001,0,0,0,0,1
rincj001,1,0,0,0,1
gutif001,129,25,1,18,124
olmer001,49,7,1,1,47
dohms001,0,0,0,0,1
aloum001,106,35,1,22,73
greek002,8,4,1,2,19
carll001,3,3,1,1,3
sardb001,3,0,0,0,1
cerdj001,0,0,0,0,1
hincb001,0,0,0,0,1
darev001,2,0,0,0,1
waecd001,1,0,0,0,1
betew001,4,5,4,14,13
castr003,1,1,0,0,3
castr002,9,2,0,5,11
hidar001,94,43,4,28,105
abbop001,1,1,0,0,1
blakc001,98,36,6,17,116
voylb001,0,0,0,0,1
cuetj001,6,0,0,0,17
stock001,55,20,4,2,82
reyna001,5,1,0,0,24
koplm001,0,0,0,0,1
gonzd002,2,0,0,0,4
guzmc001,122,15,14,3,81
maldc003,2,1,0,2,8
swing001,0,0,0,0,1
klasd001,16,3,1,1,27
kinsi001,92,33,4,31,79
hernj003,0,0,0,0,11
dural001,6,0,0,0,2
