player,singles,doubles,triples,homeruns,strikes
rentr001,2,1,0,0,4
mccll001,26,4,1,3,22
herso001,16,1,1,0,21
arndl001,1,0,0,0,1
richr001,7,4,2,1,10
richr002,0,0,0,0,2
bradl101,1,0,0,0,1
schic001,1,1,0,1,4
poncc001,7,2,0,1,9
gullg101,23,7,0,1,19
boggt001,4,1,0,0,4
hancg001,24,6,3,4,1
firod001,0,0,0,0,1
bittj001,0,0,0,1,1
hudgd101,1,0,0,0,3
norww101,9,2,0,1,14
isalo101,2,0,1,0,0
grifm001,1,0,0,0,1
norrj101,39,5,0,0,18
weisg101,2,0,0,0,4
caprn001,3,1,0,1,4
sprob101,1,0,0,0,2
gerbc001,21,1,2,0,6
butes001,30,2,1,3,16
wilsj001,5,0,0,0,3
rosep001,181,25,4,3,46
gideb001,1,0,0,0,0
geisd001,0,0,0,0,2
clarm001,5,0,0,0,7
specc001,0,0,0,0,3
wotur001,7,6,0,0,9
crowt101,17,2,0,3,9
scotd001,29,13,0,4,44
mackp101,64,18,1,4,34
rayff001,4,21,1,3,15
seitk001,27,4,1,2,15
bryar001,2,4,2,6,2
ventr001,7,3,0,0,6
marte001,5,4,2,2,8
fowla001,3,0,0,0,11
tidrd001,0,0,0,0,3
wellb001,1,11,1,2,1
dawlb001,2,0,1,0,3
bordr001,2,0,0,0,7
heare001,30,5,0,4,20
goodd001,19,2,1,1,15
whitd001,1,1,1,1,3
stemj101,0,0,0,0,1
durad101,4,0,0,0,1
figuj101,46,5,0,1,19
kuntr001,4,1,0,2,8
molip001,159,26,8,19,97
rodrv001,4,3,0,0,2
stros101,6,1,0,1,9
clemp001,1,0,0,0,2
dowek001,5,0,0,0,5
lezcs001,105,26,6,16,76
robeb001,1,0,0,0,1
robeb002,53,5,2,1,30
madlb001,145,33,3,19,48
willj001,66,13,1,7,62
castr001,1,2,0,0,6
alvaj001,3,0,0,0,2
smitj101,8,2,1,0,7
jackb001,12,2,1,2,34
bereb001,12,2,1,0,16
romee001,27,8,1,1,18
joshv101,12,2,1,2,15
mcgaa001,2,1,0,0,1
gaint001,6,3,1,1,9
suthl101,20,3,0,0,12
blanl001,23,5,1,1,1
stupj001,5,0,1,0,24
bookr001,9,3,1,0,3
gonzd001,26,4,1,4,30
stodt001,1,0,0,1,1
maldc001,42,7,1,5,2
murre001,111,30,1,32,83
delel001,1,1,0,0,7
fimpj001,3,1,1,2,7
wilfr001,31,5,2,1,30
yelde001,19,2,0,0,19
russb001,120,20,2,3,32
kemps001,135,23,1,19,85
littb001,9,9,1,2,7
spieb001,79,9,3,4,66
mcner101,1,0,0,0,0
flant001,103,11,7,1,40
walkc001,13,3,2,1,11
thomd001,23,2,1,1,12
