player,singles,doubles,triples,homeruns,strikes
willt001,1,0,0,0,2
carrm001,86,24,3,17,39
dyksl001,49,15,1,2,29
hiatp001,14,6,1,4,39
whitr001,98,34,4,13,88
mcgwm001,40,13,1,39,77
woods001,5,2,0,0,13
laket001,24,8,1,3,39
parqj001,2,0,0,0,1
benam001,10,2,1,1,7
giamj002,8,4,1,2,10
glaut001,29,9,0,1,52
lansm001,81,30,2,10,69
stanm003,2,1,0,0,1
segud001,110,25,4,12,52
holmd001,3,0,0,1,9
vaugm001,113,29,3,39,155
tejam001,13,3,2,2,22
grimj001,1,0,0,0,6
hillg001,86,31,4,24,100
neagd001,6,3,0,1,26
rigga001,3,1,0,0,3
willj002,1,0,0,0,5
hundt001,52,11,1,15,65
guilj001,106,20,5,14,89
mattg002,11,0,0,0,9
byrdp001,1,0,0,0,2
gagne001,2,0,0,0,3
petta001,1,0,0,0,3
velar001,80,19,1,7,67
bondb001,93,30,7,33,85
cansj001,77,25,1,24,95
donnc001,27,2,2,2,24
browk001,8,1,0,0,25
joynw001,141,29,3,12,77
santf001,24,5,1,1,9
browk004,1,7,1,1,32
hairj002,30,13,1,4,1
estab001,6,1,1,4,8
hergm001,0,0,0,0,1
palmr001,111,31,2,39,71
shefg001,52,8,2,16,46
allec001,106,21,3,10,93
bellm001,3,5,1,1,7
franm001,4,1,2,5,4
giamj001,35,8,2,6,34
vinaf001,62,10,7,3,31
santb001,51,20,3,11,48
camik001,110,34,3,26,95
benng001,10,4,0,1,1
knobc001,135,34,8,11,98
boner001,1,0,0,0,5
ankir001,1,0,0,0,3
morrh001,80,26,2,11,62
clemr001,1,1,0,0,3
willm003,68,17,1,23,63
pratt001,7,2,1,2,21
chrij002,1,0,0,0,1
villr001,6,0,0,0,1
manzj001,1,0,0,0,2
merck001,2,3,1,1,18
juddm001,1,0,0,0,1
belld002,25,7,2,2,26
younk001,31,9,3,6,54
